C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: IS_SANDBOX=1, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vendor.url.bug=https://bugreport.java.com/bugreport/, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.io.tmpdir=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.version=21.0.2, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.dir=/Users/milton/github/jvmxray/prj-integration, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: os.arch=aarch64, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.specification.name=Java Virtual Machine Specification, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: native.encoding=UTF-8, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.library.path=/Users/milton/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:., AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.info=mixed mode, sharing, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: stderr.encoding=UTF-8, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vendor=Oracle Corporation, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.version=21.0.2+13-58, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.io.unicode.encoding=UnicodeBig, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: socksNonProxyHosts=local|*.local|169.254/16|*.169.254/16, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.class.version=65.0, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/github/jvmxray/prj-integration/target/prj-integration-0.0.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/github/jvmxray/prj-common/target/prj-common-0.0.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/ch/qos/logback/contrib/logback-json-core/0.1.5/logback-json-core-0.1.5.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.17.1/jackson-databind-2.17.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.17.1/jackson-annotations-2.17.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.17.1/jackson-core-2.17.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/datastax/oss/java-driver-core/4.13.0/java-driver-core-4.13.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/datastax/oss/native-protocol/1.5.0/native-protocol-1.5.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/netty/netty-handler/4.1.60.Final/netty-handler-4.1.60.Final.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/netty/netty-common/4.1.60.Final/netty-common-4.1.60.Final.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/netty/netty-resolver/4.1.60.Final/netty-resolver-4.1.60.Final.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/netty/netty-buffer/4.1.60.Final/netty-buffer-4.1.60.Final.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/netty/netty-transport/4.1.60.Final/netty-transport-4.1.60.Final.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/netty/netty-codec/4.1.60.Final/netty-codec-4.1.60.Final.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/datastax/oss/java-driver-shaded-guava/25.1-jre-graal-sub-1/java-driver-shaded-guava-25.1-jre-graal-sub-1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/typesafe/config/1.4.1/config-1.4.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jnr-posix/3.1.5/jnr-posix-3.1.5.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jnr-ffi/2.2.2/jnr-ffi-2.2.2.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jffi/1.3.1/jffi-1.3.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jffi/1.3.1/jffi-1.3.1-native.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/ow2/asm/asm/9.1/asm-9.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/ow2/asm/asm-commons/9.1/asm-commons-9.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/ow2/asm/asm-analysis/9.1/asm-analysis-9.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/ow2/asm/asm-tree/9.1/asm-tree-9.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/ow2/asm/asm-util/9.1/asm-util-9.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jnr-a64asm/1.0.0/jnr-a64asm-1.0.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jnr-x86asm/1.0.2/jnr-x86asm-1.0.2.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/jnr/jnr-constants/0.10.1/jnr-constants-0.10.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/io/dropwizard/metrics/metrics-core/4.1.18/metrics-core-4.1.18.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.12/HdrHistogram-2.1.12.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/esri/geometry/esri-geometry-api/1.2.1/esri-geometry-api-1.2.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/json/json/20090211/json-20090211.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.12/jackson-core-asl-1.9.12.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/reactivestreams/reactive-streams/1.0.3/reactive-streams-1.0.3.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/stephenc/jcip/jcip-annotations/1.0-1/jcip-annotations-1.0-1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/github/spotbugs/spotbugs-annotations/3.1.12/spotbugs-annotations-3.1.12.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/google/code/findbugs/jsr305/3.0.2/jsr305-3.0.2.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/datastax/oss/java-driver-query-builder/4.13.0/java-driver-query-builder-4.13.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/datastax/oss/java-driver-mapper-runtime/4.13.0/java-driver-mapper-runtime-4.13.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/mysql/mysql-connector-j/8.0.33/mysql-connector-j-8.0.33.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/google/protobuf/protobuf-java/3.21.9/protobuf-java-3.21.9.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/xerial/sqlite-jdbc/3.42.0.0/sqlite-jdbc-3.42.0.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/com/zaxxer/HikariCP/5.0.1/HikariCP-5.0.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/commons-cli/commons-cli/1.5.0/commons-cli-1.5.0.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/github/jvmxray/prj-agent/target/prj-agent-0.0.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/ch/qos/logback/logback-core/1.5.6/logback-core-1.5.6.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/net/bytebuddy/byte-buddy/1.14.17/byte-buddy-1.14.17.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/net/bytebuddy/byte-buddy-agent/1.14.17/byte-buddy-agent-1.14.17.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/javax/servlet/javax.servlet-api/4.0.1/javax.servlet-api-4.0.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/github/jvmxray/prj-service-event-aggregator/target/prj-service-event-aggregator-0.0.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/ch/qos/logback/logback-classic/1.5.6/logback-classic-1.5.6.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:30 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.lib |  | caller=sun.instrument.InstrumentationImpl:560, method=static, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, jarPath=/Users/milton/.m2/repository/org/slf4j/slf4j-api/2.0.13/slf4j-api-2.0.13.jar, CID=unit-test
C:AP | 2025.09.07 at 12:10:31 CDT | jvmxray.sensor-1 |  INFO | org.jvmxray.events.system.process |  | args=JVMXRay Process Test, caller=java.lang.ProcessBuilder:1089, AID=c274baa6fb1f606d-316c20ac-19925284fd5--8000, operation=EXECUTE, command=echo, CID=unit-test
